capture,ue_ip,direction,window_index,window_s,throughput_mbps,lf_raw,lf_used
250826_1030_1130.pcap,10.1.17.210,DL,578,5,2.822720,0.00308832,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,579,5,0.548853,0.00060050,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,580,5,0.145256,0.00015892,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,581,5,0.000987,0.00000108,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,582,5,0.000083,0.00000009,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,583,5,0.033720,0.00003689,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,584,5,0.001144,0.00000125,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,585,5,0.001070,0.00000117,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,586,5,0.183955,0.00020126,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,587,5,0.526344,0.00057587,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,588,5,11.610349,0.01270279,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,589,5,1.264806,0.00138381,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,590,5,10.970070,0.01200227,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,591,5,3.207910,0.00350975,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,592,5,5.830653,0.00637927,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,593,5,11.202469,0.01225653,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,594,5,2.894547,0.00316690,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,595,5,2.656306,0.00290624,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,596,5,1.537597,0.00168227,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,597,5,2.525744,0.00276340,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,598,5,2.739413,0.00299717,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,599,5,1.464168,0.00160193,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,600,5,2.823782,0.00308948,0.30000
250826_1030_1130.pcap,10.1.17.210,DL,601,5,0.693122,0.00075834,0.30000
